S	0	0	9	208078810	15335440
S	1	1	10	1923057903	15336480
S	2	2	9	184929891	15337520
S	3	3	10	2126665033	15338560
S	4	4	10	1389113675	15339600
S	5	5	10	1954733191	15340640
S	6	6	10	1118236595	15341680
S	7	7	10	1065705044	15342720
S	8	8	9	165500435	15343760
S	9	9	10	1516523432	15344800
S	10	10	9	625214302	15345840
S	11	11	10	1751321935	15346880
S	12	12	9	633037221	15347920
S	13	13	9	681084621	15348960
S	14	14	10	2119694860	15350000
S	15	15	10	1228009518	15351040
S	16	16	8	51631321	15352080
S	17	17	10	2120999762	15353120
S	18	18	10	1043228791	15354160
S	19	19	10	1055737589	15355200
